T(K)        G2/(RT)
1.30000e+03 1.58869515e+01
1.31106e+03 1.57241541e+01
1.32211e+03 1.55640793e+01
1.33317e+03 1.54066593e+01
1.34422e+03 1.52518287e+01
1.35528e+03 1.50995240e+01
1.36633e+03 1.49496840e+01
1.37739e+03 1.48022493e+01
1.38844e+03 1.46571625e+01
1.39950e+03 1.45143679e+01
1.41055e+03 1.43738116e+01
1.42161e+03 1.42354414e+01
1.43266e+03 1.40992066e+01
1.44372e+03 1.39650584e+01
1.45477e+03 1.38329490e+01
1.46583e+03 1.37028323e+01
1.47688e+03 1.35746636e+01
1.48794e+03 1.34483995e+01
1.49899e+03 1.33239978e+01
1.51005e+03 1.32014176e+01
1.52111e+03 1.30806193e+01
1.53216e+03 1.29615641e+01
1.54322e+03 1.28442148e+01
1.55427e+03 1.27285348e+01
1.56533e+03 1.26144888e+01
1.57638e+03 1.25020425e+01
1.58744e+03 1.23911623e+01
1.59849e+03 1.22818159e+01
1.60955e+03 1.21739715e+01
1.62060e+03 1.20675986e+01
1.63166e+03 1.19626671e+01
1.64271e+03 1.18591479e+01
1.65377e+03 1.17570128e+01
1.66482e+03 1.16562341e+01
1.67588e+03 1.15567851e+01
1.68693e+03 1.14586395e+01
1.69799e+03 1.13617719e+01
1.70905e+03 1.12661575e+01
1.72010e+03 1.11717722e+01
1.73116e+03 1.10785924e+01
1.74221e+03 1.09865952e+01
1.75327e+03 1.08957581e+01
1.76432e+03 1.08060594e+01
1.77538e+03 1.07174778e+01
1.78643e+03 1.06299926e+01
1.79749e+03 1.05435835e+01
1.80854e+03 1.04582308e+01
1.81960e+03 1.03739153e+01
1.83065e+03 1.02906181e+01
1.84171e+03 1.02083210e+01
1.85276e+03 1.01270059e+01
1.86382e+03 1.00466555e+01
1.87487e+03 9.96725273e+00
1.88593e+03 9.88878084e+00
1.89698e+03 9.81122359e+00
1.90804e+03 9.73456507e+00
1.91910e+03 9.65878977e+00
1.93015e+03 9.58388250e+00
1.94121e+03 9.50982843e+00
1.95226e+03 9.43661307e+00
1.96332e+03 9.36422225e+00
1.97437e+03 9.29264211e+00
1.98543e+03 9.22185913e+00
1.99648e+03 9.15186004e+00
2.00754e+03 9.08263191e+00
2.01859e+03 9.01416207e+00
2.02965e+03 8.94643812e+00
2.04070e+03 8.87944795e+00
2.05176e+03 8.81317969e+00
2.06281e+03 8.74762173e+00
2.07387e+03 8.68276272e+00
2.08492e+03 8.61859154e+00
2.09598e+03 8.55509730e+00
2.10704e+03 8.49226935e+00
2.11809e+03 8.43009726e+00
2.12915e+03 8.36857080e+00
2.14020e+03 8.30767998e+00
2.15126e+03 8.24741499e+00
2.16231e+03 8.18776624e+00
2.17337e+03 8.12872432e+00
2.18442e+03 8.07028001e+00
2.19548e+03 8.01242430e+00
2.20653e+03 7.95514833e+00
2.21759e+03 7.89844343e+00
2.22864e+03 7.84230110e+00
2.23970e+03 7.78671302e+00
2.25075e+03 7.73167102e+00
2.26181e+03 7.67716708e+00
2.27286e+03 7.62319336e+00
2.28392e+03 7.56974216e+00
2.29497e+03 7.51680593e+00
2.30603e+03 7.46437725e+00
2.31709e+03 7.41244887e+00
2.32814e+03 7.36101366e+00
2.33920e+03 7.31006463e+00
2.35025e+03 7.25959491e+00
2.36131e+03 7.20959777e+00
2.37236e+03 7.16006661e+00
2.38342e+03 7.11099495e+00
2.39447e+03 7.06237640e+00
